product,discount_price_new,price_new,discount_percentage_new,url
Colchon Simmons En Caja 190x140cm Color Blanco,306128.0,1240994.0,75,https://www.mercadolibre.com.ar/colchon-simmons-en-caja-190x140cm-color-blanco/p/MLA22938951?pdp_filters=item_id%3AMLA1407640474#polycard_client=offers&wid=MLA1407640474&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=14
Colchón En Caja Sueño Dorado Box Plus 1 Plaza 80x190cm Espuma Alta Densidad,187738.0,702500.0,73,https://www.mercadolibre.com.ar/colchon-en-caja-sueno-dorado-box-plus-1-plaza-80x190cm-espuma-alta-densidad/p/MLA40487298?pdp_filters=item_id%3AMLA1455669007#polycard_client=offers&wid=MLA1455669007&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=47
Colchon Simmons En Caja 190x080 Color Blanco,214781.0,809500.0,73,https://www.mercadolibre.com.ar/colchon-simmons-en-caja-190x080-color-blanco/p/MLA22938950?pdp_filters=item_id%3AMLA1407640508#polycard_client=offers&wid=MLA1407640508&sid=offers&deal_print_id=36b8f792-4ac6-433c-b2ea-05755e52798a&tracking_id=d5ba4f5e-8b7e-4029-bcd0-5f4d1b994e38
Sommier Marinero Sueño Dorado Bw 1 1/2 Plazas 90x190cm Espuma,544818.0,1999700.0,72,https://www.mercadolibre.com.ar/sommier-marinero-sueno-dorado-bw-1-12-plazas-90x190cm-espuma/p/MLA41820165?pdp_filters=item_id%3AMLA1455091901#polycard_client=offers&wid=MLA1455091901&sid=offers&deal_print_id=b6ac6e64-4091-4bcc-8a11-3472dbe65812&tracking_id=c3e8ab3a-78a8-4a34-9964-47f23aaf9909
Colchón Y Sommier Simmons Hotel Bilt Queen Size 200x160,858909.0,2920294.0,70,https://www.mercadolibre.com.ar/colchon-y-sommier-simmons-hotel-bilt-queen-size-200x160/p/MLA23214643?pdp_filters=item_id%3AMLA1428857422#polycard_client=offers&wid=MLA1428857422&sid=offers&deal_print_id=f6d771c5-db1b-445d-8afe-504f3096d164&tracking_id=8d59fc50-1627-4663-bcc8-e61e6da5cfaa
Colchón Y Sommier Simmons Hotel Bilt King Size 200x200,1067275.0,3448634.0,69,https://www.mercadolibre.com.ar/colchon-y-sommier-simmons-hotel-bilt-king-size-200x200/p/MLA22919080?pdp_filters=item_id%3AMLA1400680726#polycard_client=offers&wid=MLA1400680726&sid=offers&deal_print_id=a54419bb-a102-4111-b83e-65004a5b62e6&tracking_id=3cb1b59e-be76-40e7-a5f3-3bd9aa4939ba
Colchón Sommier Simmons Backcare Hotel Bilt 2 Plazas 190x140 Color Negro/blanco,725539.0,2367073.0,69,https://www.mercadolibre.com.ar/colchon-sommier-simmons-backcare-hotel-bilt-2-plazas-190x140-color-negroblanco/p/MLA18533622?pdp_filters=item_id%3AMLA1160213353#polycard_client=offers&wid=MLA1160213353&sid=offers&deal_print_id=b1954aa0-6ab9-47c6-b5ef-34a045caf14d&tracking_id=2a172d3c-e715-40d1-b494-6a70fa87a3b2
Caloventor Eléctrico Pared Tender Control Tivoli 2000w Color Blanco,97999.0,309759.0,68,https://www.mercadolibre.com.ar/caloventor-electrico-pared-tender-control-tivoli-2000w-color-blanco/p/MLA20017171?pdp_filters=item_id%3AMLA2104804248#polycard_client=offers&wid=MLA2104804248&sid=offers&deal_print_id=377f63d7-fa0a-453b-92c9-30898a3294bd&tracking_id=6a98337f-5eaa-4838-a4d7-91c42a2ff253
Kit Set Discos + Pesas+ 2 Mancuernas + 20 Kg Disco Pesas,32999.0,99999.0,67,https://articulo.mercadolibre.com.ar/MLA-927661230-kit-set-discos-pesas-2-mancuernas-20-kg-disco-pesas-_JM#polycard_client=offers&deal_print_id=9a713331-4a01-4397-8970-ed50ab74a7a4&tracking_id=67db87b8-2e55-4947-a592-fe004c7f564c
Colchón De Espuma En Caja Freestyle Box 2 Plazas 140x190 La Espumería Color Gris Oscuro,271396.0,846169.0,67,https://www.mercadolibre.com.ar/colchon-de-espuma-en-caja-freestyle-box-2-plazas-140x190-la-espumeria-color-gris-oscuro/p/MLA18642968?pdp_filters=item_id%3AMLA1346894826#polycard_client=offers&wid=MLA1346894826&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=8
